Study_ID,Citation,Year,SAR_TYPE,Island.Type,Lat,Long,Study location,Ecoregion,Number of islands/patches in study,Island_or_Mainland,Min_A,Max_A,Range(order of magnitude),Island Area (m2),Distance From Mainland (m),Species Richness,Total species richness on islands ,Total species richness on islands and mianland,Sampling Method,Number of Sampling Methods,Z,Std. Error,R2,Signifcant?,Notes,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,259000000,,36,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,87000000,,47,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,177000000,,37,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,259000000,,19,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,699000000,,53,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,3132000000,,67,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
11,Wetterer,2002,Insular,Oceanic,-21.269657,-175.0435,Kingdom of Tonga,Oceania,7,island,87000000,18272000000,2.322266834,18272000000,,88,53,,"Hand, Museum records",2,0.19,0.08,0.43,N,,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,Timor island,140000000,30777000000,2.342098249,30777000000,,111,154,,"pitfall, hand",2,0.39,,0.67,,Classified as oceianic because most of the islands were oceanic volcano islands,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,Wetar,140000000,30777000000,2.342098249,3900000000,,48,154,,,,0.39,,0.67,,,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,Alor,140000000,30777000000,2.342098249,2125000000,,36,154,,,,0.39,,0.67,,,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,pantar,140000000,30777000000,2.342098249,728000000,,27,154,,,,0.39,,0.67,,,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,lembata,140000000,30777000000,2.342098249,1270000000,,12,154,,,,0.39,,0.67,,,
12,Trainor & Andersen 2010,2003-2010,Insular,Mixed,-9.8628,124.331,Timor,Indomalaya,5,atauro,140000000,30777000000,2.342098249,144000000,,15,154,,,,0.39,,0.67,,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Anuta,183000,5301700000,4.46196406,368264,,8,237,,,,0.2,0.08,15,Y,calculated some,self
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Bellona,183000,5301700000,4.46196406,16094186,,32,,,,,0.2,0.08,15,Y,calculated some,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Choiseul,183000,5301700000,4.46196406,2970700000,,11,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Guadalcanal,183000,5301700000,4.46196406,5301700000,,107,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Kolombangara,183000,5301700000,4.46196406,687800000,,17,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Makira,183000,5301700000,4.46196406,1230000000,,142,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Malaita,183000,5301700000,4.46196406,4307000000,,71,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Malaupaina,183000,5301700000,4.46196406,6370000,,29,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Matema,183000,5301700000,4.46196406,183000,,7,,,,,0.2,0.08,15,Y,,
13,Sarnat et al 2013,,Insular,Oceanic,-9.155282,159.799091,Solomon,Australasia,,Mbaniku,183000,5301700000,4.46196406,49309000,,2,,,,,0.2,0.08,15,Y,,
