Study_ID,Citation,SAR_TYPE,Study_location,Biogeo_realm,Number of islands/patches in study,Area,Richness
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,550000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,150000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,180000,5
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,600000,6
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,37000,7
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,61000,8
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,110000,8
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,3190000,8
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,580000,8
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,2820000,9
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,460000,9
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,200000,10
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,710000,10
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,3060000,14
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,41140000,15
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,2460000,15
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,3920000,19
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,7470000,22
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,12680000,29
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,21200000,29
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,81810000,31
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,93990000,40
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,22830000,41
15,Woinarski et al 1998,Insular,Wesell and English Islands Company groups,Australasia,34,209730000,45
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,102000000,7
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,218000000,7
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,280000000,11
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,52000000,13
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,1780000000,15
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,616000000,16
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,300000000,19
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,1116000000,20
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,26000000,26
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,728000000,28
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,83000000,39
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,8897000000,56
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,13864000000,59
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,10991000000,59
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,76190000000,88
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,1.15E+11,146
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,4828000000,148
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,430000000,18
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,344000000,39
16,Wilson zoogeography of caribean insects: chapter 9: The biogeography of the west indian ants,Insular,West Indian Isands,Neotropic,20,389000000,63
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,105220,60
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,60640,62
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,38171,62
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,89030,64
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,224390,65
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,84861,65
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,36235,66
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,468690,67
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,280540,67
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,23892,67
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,412270,70
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,263360,70
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,396160,71
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,428470,71
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,139130,72
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,3610000,73
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,3610000,73
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,146380,75
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,74220,76
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,314240,78
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,231230,79
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,664700,79
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,1899000,81
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,213250,84
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,597000,86
17,Vasconcelos et al. 2006,Mainland,Alter do Chao,Neotropic,26,1899000,87
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,3900000,1
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,163600000,4
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,24100000,6
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,25000000,8
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,41000000,8
